"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"P8_001N"," !!Total:"
"P8_001NA","Annotation of  !!Total:"
"P8_002N"," !!Total:!!Population of one race:"
"P8_002NA","Annotation of  !!Total:!!Population of one race:"
"P8_003N"," !!Total:!!Population of one race:!!White alone"
"P8_003NA","Annotation of  !!Total:!!Population of one race:!!White alone"
"P8_004N"," !!Total:!!Population of one race:!!Black or African American alone"
"P8_004NA","Annotation of  !!Total:!!Population of one race:!!Black or African American alone"
"P8_005N"," !!Total:!!Population of one race:!!American Indian and Alaska Native alone"
"P8_005NA","Annotation of  !!Total:!!Population of one race:!!American Indian and Alaska Native alone"
"P8_006N"," !!Total:!!Population of one race:!!Asian alone"
"P8_006NA","Annotation of  !!Total:!!Population of one race:!!Asian alone"
"P8_007N"," !!Total:!!Population of one race:!!Native Hawaiian and Other Pacific Islander alone"
"P8_007NA","Annotation of  !!Total:!!Population of one race:!!Native Hawaiian and Other Pacific Islander alone"
"P8_008N"," !!Total:!!Population of one race:!!Some Other Race alone"
"P8_008NA","Annotation of  !!Total:!!Population of one race:!!Some Other Race alone"
"P8_009N"," !!Total:!!Population of two or more races:"
"P8_009NA","Annotation of  !!Total:!!Population of two or more races:"
"P8_010N"," !!Total:!!Population of two or more races:!!Population of two races:"
"P8_010NA","Annotation of  !!Total:!!Population of two or more races:!!Population of two races:"
"P8_011N"," !!Total:!!Population of two or more races:!!Population of two races:!!White; Black or African American"
"P8_011NA","Annotation of  !!Total:!!Population of two or more races:!!Population of two races:!!White; Black or African American"
"P8_012N"," !!Total:!!Population of two or more races:!!Population of two races:!!White; American Indian and Alaska Native"
"P8_012NA","Annotation of  !!Total:!!Population of two or more races:!!Population of two races:!!White; American Indian and Alaska Native"
"P8_013N"," !!Total:!!Population of two or more races:!!Population of two races:!!White; Asian"
"P8_013NA","Annotation of  !!Total:!!Population of two or more races:!!Population of two races:!!White; Asian"
"P8_014N"," !!Total:!!Population of two or more races:!!Population of two races:!!White; Native Hawaiian and Other Pacific Islander"
"P8_014NA","Annotation of  !!Total:!!Population of two or more races:!!Population of two races:!!White; Native Hawaiian and Other Pacific Islander"
"P8_015N"," !!Total:!!Population of two or more races:!!Population of two races:!!White; Some Other Race"
"P8_015NA","Annotation of  !!Total:!!Population of two or more races:!!Population of two races:!!White; Some Other Race"
"P8_016N"," !!Total:!!Population of two or more races:!!Population of two races:!!Black or African American; American Indian and Alaska Native"
"P8_016NA","Annotation of  !!Total:!!Population of two or more races:!!Population of two races:!!Black or African American; American Indian and Alaska Native"
"P8_017N"," !!Total:!!Population of two or more races:!!Population of two races:!!Black or African American; Asian"
"P8_017NA","Annotation of  !!Total:!!Population of two or more races:!!Population of two races:!!Black or African American; Asian"
"P8_018N"," !!Total:!!Population of two or more races:!!Population of two races:!!Black or African American; Native Hawaiian and Other Pacific Islander"
"P8_018NA","Annotation of  !!Total:!!Population of two or more races:!!Population of two races:!!Black or African American; Native Hawaiian and Other Pacific Islander"
"P8_019N"," !!Total:!!Population of two or more races:!!Population of two races:!!Black or African American; Some Other Race"
"P8_019NA","Annotation of  !!Total:!!Population of two or more races:!!Population of two races:!!Black or African American; Some Other Race"
"P8_020N"," !!Total:!!Population of two or more races:!!Population of two races:!!American Indian and Alaska Native; Asian"
"P8_020NA","Annotation of  !!Total:!!Population of two or more races:!!Population of two races:!!American Indian and Alaska Native; Asian"
"P8_021N"," !!Total:!!Population of two or more races:!!Population of two races:!!American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander"
"P8_021NA","Annotation of  !!Total:!!Population of two or more races:!!Population of two races:!!American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander"
"P8_022N"," !!Total:!!Population of two or more races:!!Population of two races:!!American Indian and Alaska Native; Some Other Race"
"P8_022NA","Annotation of  !!Total:!!Population of two or more races:!!Population of two races:!!American Indian and Alaska Native; Some Other Race"
"P8_023N"," !!Total:!!Population of two or more races:!!Population of two races:!!Asian; Native Hawaiian and Other Pacific Islander"
"P8_023NA","Annotation of  !!Total:!!Population of two or more races:!!Population of two races:!!Asian; Native Hawaiian and Other Pacific Islander"
"P8_024N"," !!Total:!!Population of two or more races:!!Population of two races:!!Asian; Some Other Race"
